Date,Price,Before_1Days,Before_2Days,Before_3Days,Before_4Days,Before_5Days,Before_6Days,Before_7Days,Before_8Days,Before_9Days,Before_10Days,Before_11Days,Before_12Days,Before_13Days,Before_14Days,Before_15Days,Before_16Days,Before_17Days,Before_18Days,Before_19Days,Before_20Days,Before_21Days,Before_22Days,Before_23Days,Before_24Days,Before_25Days,Before_26Days,Before_27Days,Before_28Days,Before_29Days
2017.03.12,0.018023749,-0.006360368,-0.009663537,2.60831E-05,-0.000781881,-0.000755248,0.017839629,-0.001151753,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918
2017.03.05,-0.006360368,-0.009663537,2.60831E-05,-0.000781881,-0.000755248,0.017839629,-0.001151753,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699
2017.02.26,-0.009663537,2.60831E-05,-0.000781881,-0.000755248,0.017839629,-0.001151753,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699,0.004175311
2017.02.19,2.60831E-05,-0.000781881,-0.000755248,0.017839629,-0.001151753,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699,0.004175311,0.001894288
2017.02.12,-0.000781881,-0.000755248,0.017839629,-0.001151753,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699,0.004175311,0.001894288,0.018502887
2017.02.05,-0.000755248,0.017839629,-0.001151753,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699,0.004175311,0.001894288,0.018502887,-0.013716551
2017.01.29,0.017839629,-0.001151753,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699,0.004175311,0.001894288,0.018502887,-0.013716551,0.000290801
2017.01.22,-0.001151753,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699,0.004175311,0.001894288,0.018502887,-0.013716551,0.000290801,0.009056473
2017.01.15,0.007186858,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699,0.004175311,0.001894288,0.018502887,-0.013716551,0.000290801,0.009056473,0.004663254
2017.01.08,0.027806329,0.013458333,0.003652179,-0.016856704,-0.02039282,-0.001086257,0.00310747,0.013635682,-0.028353008,-0.016137652,0.009859674,-0.00098631,-0.001431385,0.003822832,-0.009376061,0.004723294,0.017406626,-0.00606334,-0.004372408,0.001388944,-0.008498918,-0.003072699,0.004175311,0.001894288,0.018502887,-0.013716551,0.000290801,0.009056473,0.004663254,0.009673797
